front,back,hint,publishedAt
alimentare,feed,Alimentare la mente è fondamentale per la crescita personale.,2026-07-07T23:22:58.752Z
qualche,some,Qualche amico mi ha invitato alla festa.,2026-07-07T02:50:18.130Z
consigliare di,recommend,Ti consiglio di studiare ogni giorno per migliorare.,2026-07-06T23:14:05.630Z
la allergia alimentare,food allergy,Il dottore ha consigliato di fare un test per l'allergia alimentare.,2026-07-06T23:09:20.781Z
provare a,try to / try -ing,Provare a studiare ogni giorno.,2026-07-05T15:20:27.877Z
consiglio,advice,Qual è il tuo consiglio per questo problema?,2026-07-05T15:19:06.917Z
paesaggio,landscape,Il paesaggio toscano è famoso per le sue colline verdi.,2026-07-05T15:15:09.001Z
Spero che ti piaccia anche a te.,I hope you like it too.,,2026-07-05T15:10:52.485Z
Spero,I hope,Spero che ti piaccia anche a te.,2026-07-05T15:10:37.952Z
"Certo, non vedo l'ora di assaggiarlo!","Sure, I can't wait to taste it!",,2026-07-05T15:10:22.891Z
Vuoi provare a usarlo in una frase?,Do you want to try using it in a sentence?,,2026-07-05T15:08:44.790Z
costruire,build,"di data engineering, puoi costruire",2026-07-05T15:05:35.478Z
Posso consigliarti delle alternative come il pollo o la pasta al pomodoro?,Can I suggest some alternatives like chicken or pasta with tomato sauce?,,2026-07-05T15:03:19.567Z
consigliarti,recommend to you,Posso consigliarti un buon ristorante in città.,2026-07-05T15:03:03.596Z
Sei pronto a ordinare? Hai qualche raccomandazione per le tue allergie alimentari?,Are you ready to order? Do you have any recommendations for your food allergies?,,2026-07-05T15:02:42.906Z
paesaggi,landscapes,Camminiamo ___ per vedere i bellissimi paesaggi.,2026-07-05T14:58:17.801Z
sviluppatore,developer,sviluppatore?,2026-07-05T07:21:30.885Z
prenotazione,booking,Così posso controllare la tua prenotazione.,2026-07-03T03:52:56.023Z
controllare,check,Così posso controllare la tua prenotazione.,2026-07-03T03:52:50.189Z
Posso avere il numero di riserva per favore? Così posso controllare la tua prenotazione.,Can I have the reservation number please? So I can check your booking.,,2026-07-03T03:52:43.670Z
riserva,reserve,riserva,2026-07-03T03:52:18.950Z
Vado a studiare in ___ per prepararmi all'esame,I am going to study in ___ to prepare for the exam.,Vado a studiare in ___ per prepararmi all'esame.,2026-07-03T03:50:50.599Z
prepararmi,prepare myself,Vado a studiare in ___ per prepararmi all'esame.,2026-07-03T03:50:31.866Z
dapertutto,everywhere,Ci sono fiori dapertutto nel giardino.,2026-07-02T23:09:11.518Z
sparsi,scattered,I giocattoli sono sparsi per tutta la stanza.,2026-07-02T23:06:02.706Z
stropicciati,"crumpled, wrinkled",,2026-07-02T23:03:08.772Z
foglio,sheet,Ho trovato un foglio stropicciato sul pavimento.,2026-07-02T23:02:58.759Z
pavimento,floor,Ho trovato un foglio stropicciato sul pavimento.,2026-07-02T23:02:39.119Z
La lettera era stropicciata e difficile da leggere,letter was crumpled and difficult to read.,La lettera era stropicciata e difficile da leggere.,2026-07-02T23:01:44.386Z
peluche,stuffed animal,I bambini adorano giocare con i peluche.,2026-07-02T22:58:27.834Z
C'è così tanta confusione che è quasi impossibile camminare!,There is so much confusion that it is almost impossible to walk!,,2026-07-02T12:55:20.492Z
allenarmi,work out,Io vado in palestra ___ per allenarmi.,2026-07-02T10:08:59.779Z
Quello è il libro che stai cercando?,Is that the book you are looking for?,,2026-07-02T10:07:57.723Z
risolte,resolved,,2026-07-02T10:06:03.918Z
qual,which,Qual è il tuo colore preferito?,2026-07-02T02:45:26.785Z
"Giocattoli, fogli stropicciati e peluche sono sparsi dappertutto.","Toys, crumpled papers, and stuffed animals are scattered everywhere.",,2026-07-01T14:01:23.256Z
che stia per,that it is about to,Mi sembra che stia per piovere.,2026-07-01T03:04:07.164Z
riunione,meeting,Ci sono alcuni problemi da risolvere prima della riunione.,2026-07-01T03:01:44.672Z
fiducia,trust,È una forma comune in italiano per esprimere fiducia.,2026-06-30T23:07:40.845Z
descrivere,describe,Puoi scrivere una frase per descrivere il tuo giorno.,2026-06-30T23:05:49.138Z
scrivere,write,Puoi scrivere una frase per descrivere il tuo giorno.,2026-06-30T23:05:46.844Z
prima di,before,"Prima di mangiare, lavati le mani.",2026-06-30T23:02:04.320Z
la frase,sentence,Puoi scrivere una frase per descrivere il tuo giorno.,2026-06-30T13:44:39.050Z
di sempre,always,La musica di sempre mi fa sentire bene.,2026-06-30T13:40:16.188Z
sembrare,seem,Il tuo amico sembra felice.,2026-06-30T13:39:37.405Z
Mi sembra che stia per piovere,It seems to me that it is about to rain.,Mi sembra che stia per piovere.,2026-06-30T13:38:52.126Z
stanzetta,small room,,2026-06-30T13:37:28.041Z
Non sembra più la bella stanzetta di sempre!,It doesn't look like the nice little room it always was anymore!,,2026-06-30T13:37:16.421Z
da risolvere,be solved,Ci sono alcuni problemi da risolvere prima della riunione.,2026-06-29T23:09:24.190Z
soddisfato di,satisfied with,Ci sentiamo soddisfatti di aver completato il progetto in tempo.,2026-06-29T23:04:26.869Z
campo,field,"il cloud computing"" per esprimere il tuo interesse in questo campo.",2026-06-29T20:15:53.415Z
esprimere,express,È una forma comune in italiano per esprimere fiducia.,2026-06-29T20:09:20.358Z
riguardo a,about,"""Sulla"" è una preposizione che significa ""su"" o ""riguardo a"".",2026-06-29T20:08:50.406Z
disordine,disorder,,2026-06-29T13:45:37.680Z
cameretta,bedroom,Ho decorato la cameretta con poster dei miei film preferiti.,2026-06-29T13:43:30.392Z
Che disordine nella cameretta di Topo Tip!,What a mess in Toppo Tip's bedroom!,,2026-06-29T13:42:49.031Z
diventare grande,growing up,,2026-06-29T13:42:07.653Z
Toppo Tip non vuole diventare grande,Toppo Tip does not want to grow up,,2026-06-29T13:40:30.488Z
Non ho alcun dubbio sulla tua capacità.,I have no doubt about your ability.,,2026-06-28T23:11:01.109Z
capacità,ability,"any
Non ho alcun dubbio sulla tua capacità.",2026-06-28T23:10:53.205Z
Ci sono molte questioni da risolvere prima di procedere,There are many issues to resolve before proceeding.,,2026-06-28T23:07:22.242Z
Il fine di questo progetto è migliorare la qualità della vita.,goal of this project is to improve the quality of life.,,2026-06-28T23:06:18.507Z
migliorare,improve,"goal
Il fine di questo progetto è migliorare la qualità della vita.",2026-06-28T23:06:13.500Z
interesse per,interest in,Mostra sempre interesse per le nuove tecnologie.,2026-06-28T23:05:56.519Z
Ho un grande interesse per la musica.,I have a great interest in music.,,2026-06-28T23:05:50.649Z
pallavolo,volleyball,Stiamo giocando a pallavolo.,2026-06-28T23:05:34.268Z
risultato,result,"Dopo aver assaggiato il piatto, sei soddisfatto del risultato?",2026-06-28T23:05:22.869Z
"Dopo aver assaggiato il piatto, sei soddisfatto del risultato?","After tasting the dish, are you satisfied with the result?",,2026-06-28T23:05:19.191Z
Voglio raccontarvi una storia interessante.,I want to tell you an interesting story.,,2026-06-28T23:05:03.803Z
in un attimo,in an instant,della vita possono cambiare in un attimo.,2026-06-28T23:04:22.359Z
minacciose,threatening,"they seem
Le nuvole sembrano minacciose.",2026-06-28T23:03:55.691Z
Non ho alcun dubbio sulla sua sincerità.,I have no doubt about his sincerity.,,2026-06-28T23:03:13.307Z
far,make,per far entrare un po' d'aria fresca.,2026-06-28T23:02:47.236Z
un'alternativa,alternative,,2026-06-28T23:01:36.655Z
"Quando volo, mi piace sapere che l'aereo è veloce.","When I fly, I like to know that the plane is fast.",,2026-06-28T22:43:50.167Z
ambizioso,ambitious,per la nuova scuola è molto ambizioso.,2026-06-28T22:40:44.235Z
Mi piace ascoltare una musica rilassante.,I like listening to relaxing music.,,2026-06-28T22:40:10.234Z
toccare,to touch,Mi ha toccato il cuore con le sue parole.,2026-06-28T16:23:32.311Z
sottotitoli,subtitles,mettere i sottotitoli nel caso ne abbiate bisogno.,2026-06-28T14:26:55.658Z
raccomandazioni,recommendations,Due raccomandazioni.,2026-06-28T14:26:42.756Z
risposta,answer,spiegherò poi perché è proprio la risposta corretta.,2026-06-28T14:26:30.358Z
proprio,exactly,spiegherò poi perché è proprio la risposta corretta.,2026-06-28T14:26:13.576Z
poi,then,spiegherò poi perché è proprio la risposta corretta.,2026-06-28T14:25:55.145Z
"vi
spiegherò",I will explain to you,,2026-06-28T14:25:48.801Z
alternative,alternative,"Per ogni domanda vi proporrò tre alternative, ce n'è solo una che è corretta e vi",2026-06-28T14:25:11.208Z
vi proporrò,I will propose to you,"Per ogni domanda vi proporrò tre alternative, ce n'è solo una che è corretta e vi",2026-06-28T14:25:03.113Z
ogni domanda,each question,"Per ogni domanda vi proporrò tre alternative, ce n'è solo una che è corretta e vi",2026-06-28T14:24:48.304Z
questioni,issues,di 10 questioni.,2026-06-28T14:24:41.575Z
Questo quiz è quello che fa per voi,This quiz is the one for you,Questo quiz è quello che fa per voi.,2026-06-28T14:22:24.796Z
livello di italiano,Italian level,Specialmente se avete un livello di italiano A2.,2026-06-28T14:21:47.933Z
rispondo,I answer,"Ciao ragazzi, oggi rispondo a una domanda",2026-06-28T14:20:43.323Z
quello,"that, what",Mi piace quello che hai detto.,2026-06-23T23:49:44.888Z
sembrano,they seem,Le stelle sembrano brillare di più stasera.,2026-06-23T23:48:52.223Z
periferia,outskirts,lavorano lungo le strade della periferia,2026-06-23T23:48:32.749Z
della periferia,of the suburbs,lavorano lungo le strade della periferia,2026-06-23T23:48:27.370Z
lungo le strade,along the roads,lavorano lungo le strade della periferia,2026-06-23T23:48:18.890Z
consapevolezza,awareness,"consapevolezza, ma soprattutto quello di",2026-06-23T23:45:45.955Z
diffondere,spread,"quello di denunciare, diffondere",2026-06-23T23:45:39.510Z
denunciare,report,"quello di denunciare, diffondere",2026-06-23T23:45:30.107Z
progetto,project,Possiamo creare un progetto su,2026-06-22T23:17:46.714Z
legame,bond,Abbiamo un legame speciale che ci unisce.,2026-06-21T23:37:17.526Z
interesse,interest,Non ho alcun interesse in questo.,2026-06-21T23:34:26.104Z
sono state aggiornate di recente,they have been updated recently,Le informazioni sono state aggiornate di recente.,2026-06-21T23:31:23.032Z
aggiornate,updated,Le informazioni sono state aggiornate di recente.,2026-06-21T23:30:54.277Z
Le informazioni,information,Le informazioni sono state aggiornate di recente.,2026-06-21T23:30:22.510Z
di recente,recently,Le informazioni sono state aggiornate di recente.,2026-06-21T23:30:06.910Z
Signor,Mr.,"Signor Pancini, Lei è un bravissimo attore. Posso avere il Suo autografo?",2026-06-18T23:14:32.382Z
Purtroppo,Unfortunately,"Purtroppo, non posso aiutarti ad aprire una nuova chat.",2026-06-17T14:37:36.691Z
sei soddisfatto,are you satisfied,Mi fa piacere che sei soddisfatto!,2026-06-17T14:37:30.955Z
Di cosa vuoi discutere?,What do you want to discuss?,,2026-06-17T14:37:16.210Z
discutere,discuss,,2026-06-17T14:36:59.721Z
creare,create,Possiamo creare un progetto su,2026-06-17T14:34:29.486Z
sono state,they have been,Le informazioni sono state aggiornate di recente.,2026-06-17T12:50:43.403Z
l'obiettivo,goal,Qual è il tuo obiettivo nella vita?,2026-06-16T23:32:12.160Z
"alcun
legame",no connection,,2026-06-16T10:04:00.906Z
alcun,any,Non ho alcun interesse in questo.,2026-06-16T10:03:58.131Z
altre sembrano,others seem,"friulana, altre sembrano non avere alcun",2026-06-16T10:03:44.006Z
circostanze,circumstances,vengono trovate morte in circostanze,2026-06-16T10:02:16.678Z
Alcune sono,Some are,,2026-06-16T10:02:02.586Z
giovani,young,I giovani amano la musica.,2026-06-16T10:01:57.475Z
Alcune,Some,Alcune idee sono molto interessanti.,2026-06-16T10:01:55.675Z
"vengono trovate morte in circostanze
brutali.",they are found dead under brutal circumstances.,,2026-06-16T10:01:35.375Z
vengono trovate,they are found,vengono trovate morte in circostanze,2026-06-16T10:01:25.393Z
il fine,goal(문어체),"Vi ricordo, inoltre, che il fine",2026-06-16T09:59:52.544Z
ma soprattutto,but above all,"consapevolezza, ma soprattutto quello di",2026-06-16T09:58:51.276Z
"che il fine
dei miei video e del mio canale",that the purpose of my videos and my channel,,2026-06-16T09:58:01.038Z
fine,end,"Vi ricordo, inoltre, che il fine",2026-06-16T09:56:28.992Z
inoltre,furthermore,"Vi ricordo, inoltre, che il fine",2026-06-16T09:56:09.631Z
Vi ricordo,I remind you,"Vi ricordo, inoltre, che il fine",2026-06-16T09:55:58.410Z
raccontarvi,tell you,voi per raccontarvi una storia di True,2026-06-16T09:55:10.350Z
ogni lunedì,every Monday,"come ogni lunedì, anche oggi sono qui con",2026-06-16T09:54:54.344Z
Lei è una studentessa.,She is a student.,"Mia sorella non lavora, è una studentessa.",2026-06-16T09:51:54.442Z
una parola,a word,"La parola ""ciao"" significa saluto.",2026-06-16T09:51:46.228Z
una finestra,a window,Apro sempre la finestra al mattino.,2026-06-16T09:51:38.772Z
Stiamo giocando a pallavolo.,We are playing volleyball.,"Non vado ancora a casa, stiamo giocando a pallavolo.",2026-06-16T09:51:21.106Z
un uccello,a bird,Questo ucello è molto bello.,2026-06-16T09:51:16.095Z
quindici rose,fifteen roses,Mi ha regalato quindici rose per il mio compleanno.,2026-06-16T09:50:37.291Z
L'uomo è innamorato.,The man is in love.,Marco è innamorato di Laura.,2026-06-16T09:50:25.049Z
I negozi sono aperti.,The shops are open.,I negozi sono aperti dalle 8 alle 12.,2026-06-16T09:50:15.198Z
Andate all'estero?,Are you going abroad?,Cosa fate quest'estate? Andate all'estero?,2026-06-16T09:50:07.638Z
pigro,lazy,,2026-06-16T09:49:51.417Z
due banane,two bananas,Stamattina ho mangiato due banane.,2026-06-16T09:49:36.462Z
essere in ritardo,to be late,Mio fratello è sempre in ritardo.,2026-06-16T09:49:33.324Z
un bagaglio,a baggage,Ho dimenticato il mio bagaglio alla stazione.,2026-06-16T09:49:26.675Z
Mi sento male.,I feel sick.,"Ho bevuto troppo vodka, mi sento male.",2026-06-16T09:49:18.198Z
un reggiseno,a bra,"Ho bisogno di comprare un nuovo reggiseno, questo è troppo stretto.",2026-06-16T09:49:00.885Z
i bambini felici,happy children,I bambini felici vanno a scuola per la prima volta.,2026-06-16T09:48:49.496Z
L'aereo è veloce.,The plane is fast.,Arriviamo presto. L'aereo è veloce.,2026-06-16T09:48:41.827Z
Conosci,Do you know,Conosci Marta? Lei è simpatica.,2026-06-16T09:47:28.318Z
motocicletta,motorcycle,La nuova motocicletta è bellissima!,2026-06-14T23:10:20.474Z
Lei è simpatica.,She is likeable.,Conosci Marta? Lei è simpatica.,2026-06-14T12:23:29.147Z
Voi avete un cane?,Do you (pl.) have a dog?,"Avete un cane? No, abbiamo un gatto.",2026-06-14T12:23:25.791Z
un giardino,a garden,"Abbiamo una piscina in giardino, nella quale nuotiamo ogni estate.",2026-06-14T12:23:19.987Z
Loro sono russi.,They are Russians.,Non parlano italiano. Loro sono russi.,2026-06-14T12:23:16.526Z
Il Regno Unito,the United Kingdom,Londra è la capitale del Regno Unito.,2026-06-14T12:23:13.162Z
Io ho un coniglio.,I have a rabbit.,"Ho un coniglio, si chiama Paco.",2026-06-14T12:22:46.104Z
Hanno una motocicletta nuova.,They have a new motorbike.,La nuova motocicletta è bellissima!,2026-06-14T12:22:36.476Z
uno zucchero,a sugar,Bevo solo il caffè senza zucchero.,2026-06-14T12:22:29.446Z
"Signorina, Lei è una ballerina?","Miss, are you a dancer?","Signorina, Lei è una ballerina? Penso di conoscerla dal teatro.",2026-06-14T12:22:03.703Z
un fratello,a brother,Mio fratello studia all'Università di Roma.,2026-06-14T12:21:58.279Z
un mare,a sea,Le persone che vivono al mare sono felici.,2026-06-14T12:21:56.134Z
un ospedale,a hospital,Mia nonna è stata ricoverata in ospedale per una settimana.,2026-06-14T12:21:54.282Z
un cavallo,a horse,La mia amica ha un cavallo nero. Si chiama Orfeo.,2026-06-14T12:21:49.889Z
"Professore, Lei è tanto intelligente.","Professor, you are so smart.","Professore, Lei è tanto intelligente, vorrei essere come Lei.",2026-06-14T12:21:47.088Z
una brasiliana,a Brazilian,"Lei è di Rio de Janeiro, è brasiliana.",2026-06-14T12:21:25.848Z
"Signor Pancini, Lei è un bravissimo attore.","Mr Pancini, you are a very good actor.","Signor Pancini, Lei è un bravissimo attore. Posso avere il Suo autografo?",2026-06-14T12:21:21.566Z
Non c'è male.,Not bad.,Come stai? Non c'è male.,2026-06-14T12:20:54.767Z
Di dove sei?,Where are you from?,Di dove sei? Sono italiano. E tu?,2026-06-14T12:20:08.583Z
la Germania,Germany,"Mio nonno è di Germania, vive a Berlino.",2026-06-14T12:19:42.335Z
una figlia,a daughter,Mia figlia e sua amica sono fuori con il nostro cane.,2026-06-14T12:19:36.306Z
Come vi chiamate?,What are your names?,Come vi chiamate? Siete Ludovica e Chiara?,2026-06-14T12:19:31.489Z
una sedia,a chair,Ho comprato una sedia nuova per la scrivania perché quella vecchia era scomoda.,2026-06-14T12:15:49.357Z
una musica,music,Che musica ti piace?,2026-06-14T12:15:48.319Z
una biblioteca,a library,Passo molte ore alla settimana nella biblioteca per studiare.,2026-06-14T12:15:47.001Z
Loro sono di Roma.,They are from Rome.,"Loro sono di Roma, sono romani.",2026-06-14T12:15:41.658Z
Sono felice.,I am happy.,Sono felice di vederti!,2026-06-14T12:15:15.083Z
un negozio,a shop,Ho comprato un regalo in un negozio di giocattoli.,2026-06-14T12:15:10.353Z
Lui gioca...,He plays...,Lui gioca a calcio.,2026-06-14T12:01:34.417Z
una nuova canzone,a new song,Ti piace la nuova canzone di Blanco?,2026-06-14T12:01:16.143Z
un'auto veloce,a fast car,I signori Rossi hanno una macchina veloce.,2026-06-14T12:01:01.105Z
